岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
新媒体兼职实习生,100-150元/天,长期,"1. 主要根据要求产出小红书笔记图文创作/抖音视频拍摄创作，线上灵活办公。
2. 20-30元/条图文笔记（1条笔记图片6张，文字100字以内），每周10-15条图文笔记，视频根据实际需求进行拍摄交付，每周固定时间交付即可，按月发放工资。
3. 此外，每月免费提供价值300元左右高端早餐产品。",不限,1,2025-06-18 14:11,好哩！,11~50人,上海,快速消费品
推文专员（网易LOFTER线上远程实践项目）,面议,4个月,运用文案能力、选文能力，在各大平台（小红书、微博、抖音、豆瓣、B站等）通过评论/发帖等形式安利LOFTER的潜力文章，吸引新用户来到LOFTER平台观看相关内容。,不限,999,2025-06-23 10:14,网易（杭州）有限公司,3001人及以上,浙江,互联网|游戏|软件
LOFTER推文专员（网易线上远程实习）,面议,4个月,岗位描述:运用文案能力、选文能力，在各大平台（小红书、微博、抖音、豆瓣、B站等）通过评论/发帖等形式安利LOFTER的潜力文章，吸引新用户来到LOFTER平台观看相关内容。,不限,999,2025-06-23 10:14,网易（杭州）有限公司,3001人及以上,浙江,互联网|游戏|软件
推文专员（网易LOFTER线上远程实习）,面议,4个月,运用文案能力、选文能力，在各大平台（小红书、微博、抖音、豆瓣、B站等）通过评论/发帖等形式安利LOFTER的潜力文章，吸引新用户来到LOFTER平台观看相关内容。,不限,999,2025-06-23 10:14,网易（杭州）有限公司,3001人及以上,浙江,互联网|游戏|软件
ABS承销实习生(000875),70-90元/天,长期,"1、协助开发、维护投资机构，为机构客户提供专业化的产品咨询服务；
2、协助资产证券化产品发行工作，参与项目发行及认购、销售台账统计分析、组织会议、项目材料管理等；
3、把握宏观市场动态、资产证券化市场动态，对市场信息进行收集、整理和分析；
4、协助完成部门日常业务推动工作。",硕士,2,2025-06-10 09:49,财通证券资管,101~300人,上海,金融
APE英语实习生,180-200元/天,6个月,"岗位职责：
国际数据爬取及APE英语实习
１.前期负责爬取国际行业数据及整理；
２.英文宣传资料的编辑制作；
３.协助运营Social media及内容更新；
 4.协助开观众邀请函；
 5.国际观众招募协助（东南亚、日韩及欧美）；
 6.其他额外协助工作。",大专,1,2025-06-24 11:16,cioe中国光博会,51~100人,广东,政府/非盈利机构/其他
企划实习生,2-4K/月,长期,"1、负责商业购物中心营销活动策划、筹备及执行；
2、负责微博微信等自有媒体平台的深化搭建及日常维护、推广，扩大影响力；
3、负责媒体宣传推广计划的制订、报批、监控及总结；
4、负责商场日常经营美陈形象的维护，节庆日卖场氛围布置方案推进；
5、完成上级布置的其他工作。",本科,1,2025-06-09 16:19,深圳益田假日世界商业有限公司,51~100人,广东,建筑|地产|家居
实习生储备干部（技术岗储备）,6-8K/月,6个月,"招聘岗位：车间储备干部与技术岗储备
岗位描述：熟悉产品及产线，各部门各岗位轮岗，设备操作，调试，维修，品质，品管，品控，生产助理，初级，中级，高级技工等",大专,50,2025-06-07 15:50,德赛西威,3001人及以上,广东,IT|通信|电子
汽车电子实习生储备岗,6-8K/月,6个月,"招聘岗位：车间储备技术岗
岗位描述：熟悉产品及产线，各部门各岗位轮岗，设备操作，调试，维修，品质，品管，品控，生产助理，初级，中级，高级技工等",大专,50,2025-06-07 15:50,德赛西威,3001人及以上,广东,IT|通信|电子
光学镜头实习生储备岗,6-8K/月,6个月,"培养流程：
1、前三个月，车间岗位轮岗，全面熟悉企业产品
2，后三个月，调至自动化设备操作岗位进行人才培育
3，六个月后，调配至设备调试部门与工程部门进一步培养
4，男生以车间基层管理和工科培养方向为主，女生在品检，品质，品控部门进行重点培养
福利待遇：
1，综合工资6000-8000元
2，夜班补贴38元/晚
3，提供免费吃住
4，签三方协议，实习期结束提供实习证明
5，企业交五险一金",大专,60,2025-06-10 10:42,弘景光电,1001~3000人,广东,IT|通信|电子
