岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
猎头顾问,100-200元/天,3个月,1.根据客户所在行业，客户需求以及目标职位的分析，拟定一套完善的用人寻访目标公司和候选人寻访方案,本科,15,2023-04-04 14:52,科锐国际,301~1000人,陕西,咨询/法律/人力资源
猎头实习生,100-200元/天,3个月,1、协助专业顾问分析客户的职位需求，明确目标公司的用人需求和候选人的职业发展诉求；,本科,15,2023-04-07 16:28,科锐国际,301~1000人,陕西,咨询/法律/人力资源
营销分析实习生,120-150元/天,3个月,"""最新的汽车工业和涡轮增压竞争动态：",本科,1,2023-04-06 10:13,盖瑞特,1001~3000人,上海,汽车|机械|制造
线下项目-教学助教 | Teaching Assistant,100-150元/天,1个月,一、实习岗位,本科,10,2023-04-07 16:48,JNC,51~100人,广东,教育培训
综合部实习生,145-150元/天,3个月,工作职责：,本科,1,2023-04-04 12:27,理成资产,11~50人,上海,金融
资本市场部实习生（工作地点：上海）,99-100元/天,长期,1、参与私募基金发行全生命周期管理工作，包括但不限于产品发行成立、产品备案、产品建仓及调仓等； ,本科,2,2023-04-10 15:13,陆浦投资,301~1000人,上海,金融
Marketing Analyst Intern,140-170元/天,6个月,Your role with Garrett：,本科,1,2023-04-06 10:09,盖瑞特,1001~3000人,上海,汽车|机械|制造
人事/HR实习生,5-10K/月,2个月,【工作内容】：,大专,20,2023-04-07 15:18,湖北纳杰,3001人及以上,湖北,咨询/法律/人力资源
数字化推广实习生,140-170元/天,3个月,美化ppt,本科,1,2023-04-10 10:37,外企德科,1001~3000人,上海,咨询/法律/人力资源
编辑实习生——金融学,120-200元/天,3个月,与金融学专业考研考证相关的笔记整理、核对答案解析等。,硕士,100,2023-04-10 09:02,圣才电子书,101~300人,北京,互联网|游戏|软件
